C:\deep_learning_project\DPBIA_deep_feature_reweighting\venv\Scripts\python.exe C:\deep_learning_project\DPBIA_deep_feature_reweighting\dfr_evaluate_spurious.py --data_dir=../data/waterbird_complete95_forest2water2/ --output_dir=RSLTS_DFR --ckpt_path=RSLTS_TC_2024-03-21_100243/final_checkpoint.pt --tune_class_weights_dfr_train
Preparing directory RSLTS_DFR_2024-04-04_192507
# load trainset
11788
4795
# load testset
11788
5794
# load valset
11788
1199
# Load model
C:\deep_learning_project\DPBIA_deep_feature_reweighting\venv\Lib\site-packages\torchvision\models\_utils.py:208: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and may be removed in the future, please use 'weights' instead.
  warnings.warn(
C:\deep_learning_project\DPBIA_deep_feature_reweighting\venv\Lib\site-packages\torchvision\models\_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and may be removed in the future. The current behavior is equivalent to passing `weights=None`.
  warnings.warn(msg)
  0%|          | 0/58 [00:00<?, ?it/s]Base Model
100%|██████████| 58/58 [00:37<00:00,  1.56it/s]
100%|██████████| 12/12 [00:22<00:00,  1.84s/it]
100%|██████████| 48/48 [00:31<00:00,  1.53it/s]

base_model_results={'test': {'accuracy_0_0': 0.9960088691796009, 'accuracy_0_1': 0.8527716186252772, 'accuracy_1_0': 0.7414330218068536, 'accuracy_1_1': 0.9641744548286605, 'mean_accuracy': 0.908526061442872, 'worst_accuracy': 0.7414330218068536}, 'val': {'accuracy_0_0': 0.9978586723768736, 'accuracy_0_1': 0.8347639484978541, 'accuracy_1_0': 0.6992481203007519, 'accuracy_1_1': 0.9548872180451128, 'mean_accuracy': 0.896580483736447, 'worst_accuracy': 0.6992481203007519}, 'train': {'accuracy_0_0': 1.0, 'accuracy_0_1': 1.0, 'accuracy_1_0': 1.0, 'accuracy_1_1': 1.0, 'mean_accuracy': 1.0, 'worst_accuracy': 1.0}}

100%|██████████| 48/48 [00:32<00:00,  1.49it/s]
100%|██████████| 58/58 [00:33<00:00,  1.75it/s]
100%|██████████| 12/12 [00:23<00:00,  1.96s/it]
DFR on validation TUNE
bin counts for g_train: [70 70 70 70]
Hypers: (0.1, 1.0, 1.0)
DFR on validation EVAL
bin counts of g_train [133 133 133 133]
bin counts of g_train [133 133 133 133]
bin counts of g_train [133 133 133 133]
bin counts of g_train [133 133 133 133]
bin counts of g_train [133 133 133 133]
bin counts of g_train [133 133 133 133]
bin counts of g_train [133 133 133 133]
bin counts of g_train [133 133 133 133]
bin counts of g_train [133 133 133 133]
bin counts of g_train [133 133 133 133]
bin counts of g_train [133 133 133 133]
bin counts of g_train [133 133 133 133]
bin counts of g_train [133 133 133 133]
bin counts of g_train [133 133 133 133]
bin counts of g_train [133 133 133 133]
bin counts of g_train [133 133 133 133]
bin counts of g_train [133 133 133 133]
bin counts of g_train [133 133 133 133]
bin counts of g_train [133 133 133 133]
bin counts of g_train [133 133 133 133]
bin counts of g_test: [2255 2255  642  642]
dfr_val_results={'best_hypers': (0.1, 1.0, 1.0), 'test_accs': [0.9516629711751663, 0.9206208425720621, 0.9392523364485982, 0.942367601246106], 'train_accs': [0.9699248120300752, 0.9323308270676691, 0.9699248120300752, 0.9473684210526315], 'test_worst_acc': 0.9206208425720621, 'test_mean_acc': 0.937176389368312}

DFR on train subsampled
dfr train subset_tune
bin counts for g_train: [56 56 56 56]
c=1.0, class_weight={0: 1, 1: 1.0}, worst_acc=0.8626609442060086, group_accs=array([0.97430407, 0.86266094, 0.91729323, 0.93984962])
c=1.0, class_weight={0: 1, 1: 2.0}, worst_acc=0.8261802575107297, group_accs=array([0.97216274, 0.82618026, 0.92481203, 0.95488722])
c=1.0, class_weight={0: 1, 1: 3.0}, worst_acc=0.8111587982832618, group_accs=array([0.95931478, 0.8111588 , 0.92481203, 0.94736842])
c=1.0, class_weight={0: 1, 1: 10.0}, worst_acc=0.776824034334764, group_accs=array([0.95717345, 0.77682403, 0.92481203, 0.96992481])
c=1.0, class_weight={0: 1, 1: 100.0}, worst_acc=0.6652360515021459, group_accs=array([0.92291221, 0.66523605, 0.96240602, 0.97744361])
c=1.0, class_weight={0: 1, 1: 300.0}, worst_acc=0.5944206008583691, group_accs=array([0.86295503, 0.5944206 , 0.96240602, 0.98496241])
c=1.0, class_weight={0: 1, 1: 1000.0}, worst_acc=0.5579399141630901, group_accs=array([0.85224839, 0.55793991, 0.95488722, 0.98496241])
c=1.0, class_weight={0: 1.0, 1: 1}, worst_acc=0.8562231759656652, group_accs=array([0.97430407, 0.85622318, 0.91729323, 0.93984962])
c=1.0, class_weight={0: 2.0, 1: 1}, worst_acc=0.869098712446352, group_accs=array([0.9764454 , 0.86909871, 0.90977444, 0.93984962])
c=1.0, class_weight={0: 3.0, 1: 1}, worst_acc=0.8776824034334764, group_accs=array([0.98072805, 0.8776824 , 0.89473684, 0.93984962])
c=1.0, class_weight={0: 10.0, 1: 1}, worst_acc=0.8571428571428571, group_accs=array([0.99143469, 0.90987124, 0.85714286, 0.92481203])
c=1.0, class_weight={0: 100.0, 1: 1}, worst_acc=0.8412017167381974, group_accs=array([0.95289079, 0.84120172, 0.93233083, 0.95488722])
c=1.0, class_weight={0: 300.0, 1: 1}, worst_acc=0.7896995708154506, group_accs=array([0.93576017, 0.78969957, 0.94736842, 0.95488722])
c=1.0, class_weight={0: 1000.0, 1: 1}, worst_acc=0.7918454935622318, group_accs=array([0.94218415, 0.79184549, 0.95488722, 0.96240602])
c=0.7, class_weight={0: 1, 1: 1.0}, worst_acc=0.8605150214592274, group_accs=array([0.97430407, 0.86051502, 0.92481203, 0.93984962])
c=0.7, class_weight={0: 1, 1: 2.0}, worst_acc=0.8369098712446352, group_accs=array([0.9614561 , 0.83690987, 0.92481203, 0.94736842])
c=0.7, class_weight={0: 1, 1: 3.0}, worst_acc=0.8304721030042919, group_accs=array([0.95931478, 0.8304721 , 0.93233083, 0.95488722])
c=0.7, class_weight={0: 1, 1: 10.0}, worst_acc=0.7725321888412017, group_accs=array([0.94218415, 0.77253219, 0.93984962, 0.96992481])
c=0.7, class_weight={0: 1, 1: 100.0}, worst_acc=0.648068669527897, group_accs=array([0.92505353, 0.64806867, 0.95488722, 0.97744361])
c=0.7, class_weight={0: 1, 1: 300.0}, worst_acc=0.5815450643776824, group_accs=array([0.89721627, 0.58154506, 0.95488722, 0.98496241])
c=0.7, class_weight={0: 1, 1: 1000.0}, worst_acc=0.5643776824034334, group_accs=array([0.85224839, 0.56437768, 0.97744361, 0.98496241])
c=0.7, class_weight={0: 1.0, 1: 1}, worst_acc=0.851931330472103, group_accs=array([0.97002141, 0.85193133, 0.92481203, 0.93984962])
c=0.7, class_weight={0: 2.0, 1: 1}, worst_acc=0.8733905579399142, group_accs=array([0.98286938, 0.87339056, 0.90225564, 0.93984962])
c=0.7, class_weight={0: 3.0, 1: 1}, worst_acc=0.8733905579399142, group_accs=array([0.98501071, 0.87339056, 0.88721805, 0.93233083])
